iter	Passed	Remaining
151	188	1051
152	188	1044
153	189	1038
154	189	1032
155	189	1025
156	189	1019
157	190	1013
158	190	1007
159	190	1001
160	191	995
161	191	989
162	191	983
163	191	978
164	192	972
165	192	967
166	192	961
167	193	956
168	193	950
169	193	945
170	193	940
171	194	935
172	194	930
173	194	924
174	195	919
175	195	914
176	195	909
177	195	905
178	196	900
179	196	895
180	196	890
181	196	885
182	197	880
183	197	876
184	197	871
185	198	867
186	198	863
187	198	858
188	199	854
189	199	850
190	199	845
191	199	841
192	200	837
193	200	833
194	200	829
195	201	824
196	201	820
197	201	816
198	201	813
199	202	809
200	202	805
201	202	801
202	203	797
203	203	793
204	203	789
205	203	786
206	204	782
207	204	778
208	204	775
209	205	771
210	205	768
211	205	764
212	206	761
213	206	757
214	206	754
215	206	751
216	207	747
217	207	744
218	207	741
219	208	737
220	208	734
221	208	731
222	209	728
223	209	725
224	209	721
225	209	718
226	210	715
227	210	712
228	210	709
229	211	706
230	211	703
231	211	700
232	211	697
233	212	694
234	212	691
235	212	688
236	213	686
237	213	683
238	213	680
239	213	677
240	214	674
241	214	671
242	214	669
243	215	666
244	215	663
245	215	661
246	215	658
247	216	655
248	216	653
249	216	650
250	217	647
251	217	645
252	217	642
253	217	640
254	218	637
255	218	635
256	218	632
257	219	630
258	219	627
259	219	625
260	220	623
261	220	620
262	220	618
263	220	615
264	221	613
265	221	611
266	221	609
267	222	606
268	222	604
269	222	602
270	223	600
271	223	598
272	223	595
273	224	593
274	224	591
275	224	589
276	225	587
277	225	585
278	225	583
279	226	581
280	226	579
281	226	576
282	226	574
283	227	572
284	227	570
285	227	568
286	228	566
287	228	564
288	228	562
289	228	560
290	229	558
291	229	556
292	229	554
293	230	552
294	230	550
295	230	548
296	231	546
297	231	544
298	231	542
299	231	541
300	232	539
301	232	537
302	232	535
303	233	533
304	233	531
305	233	530
306	234	528
307	234	526
308	234	524
309	234	522
310	235	521
311	235	519
312	235	517
313	236	515
314	236	513
315	236	512
316	236	510
317	237	508
318	237	507
319	237	505
320	238	503
321	238	502
322	238	500
323	238	498
324	239	496
325	239	495
326	239	493
327	240	491
328	240	490
329	240	488
330	241	487
331	241	485
332	241	483
333	241	482
334	242	480
335	242	479
336	242	477
337	243	476
338	243	474
339	243	472
340	243	471
341	244	469
342	244	468
343	244	466
344	245	465
345	245	463
346	245	462
347	245	460
348	246	459
349	246	457
350	246	456
351	247	454
352	247	453
353	247	451
354	247	450
355	248	448
356	248	447
357	248	446
358	249	444
359	249	443
360	249	441
361	249	440
362	250	439
363	250	437
364	250	436
365	251	435
366	251	433
367	251	432
368	252	430
369	252	429
370	252	428
371	252	426
372	253	425
373	253	424
374	253	422
375	254	421
376	254	420
377	254	419
378	254	417
379	255	416
380	255	415
381	255	413
382	256	412
383	256	411
384	256	410
385	257	408
386	257	407
387	257	406
388	257	405
389	258	403
390	258	402
391	258	401
392	258	399
393	259	398
394	259	397
395	259	396
396	260	395
397	260	393
398	260	392
399	261	391
400	261	390
401	261	389
402	262	388
403	262	387
404	262	385
405	262	384
406	263	383
407	263	382
408	263	381
409	264	380
410	264	378
411	264	377
412	264	376
413	265	375
414	265	374
415	265	373
416	266	372
417	266	371
418	266	369
419	267	368
420	267	367
421	267	366
422	267	365
423	268	364
424	268	363
425	268	362
426	269	361
427	269	360
428	269	359
429	270	357
430	270	356
431	270	355
432	270	354
433	271	353
434	271	352
435	271	351
436	272	350
437	272	349
438	272	348
439	272	347
440	273	346
441	273	345
442	273	344
443	274	343
444	274	342
445	274	341
446	275	340
447	275	339
448	275	338
449	275	337
450	276	336
451	276	335
452	276	334
453	277	333
454	277	332
455	277	331
456	277	330
457	278	329
458	278	328
459	278	327
460	279	326
461	279	325
462	279	324
463	279	323
464	280	322
465	280	321
466	280	320
467	281	319
468	281	318
469	281	317
470	282	316
471	282	315
472	282	314
473	282	314
474	283	313
475	283	312
476	283	311
477	284	310
478	284	309
479	284	308
480	285	307
481	285	306
482	285	305
483	285	304
484	286	303
485	286	302
486	286	302
487	287	301
488	287	300
489	287	299
490	287	298
491	288	297
492	288	296
493	288	295
494	289	294
495	289	294
496	289	293
497	289	292
498	290	291
499	290	290
500	290	289
501	291	288
502	291	287
503	291	287
504	291	286
505	292	285
506	292	284
507	292	283
508	293	282
509	293	281
510	293	281
511	294	280
512	294	279
513	294	278
514	294	277
515	295	276
516	295	276
517	295	275
518	296	274
519	296	273
520	296	272
521	297	272
522	297	271
523	297	270
524	298	269
525	298	268
526	298	267
527	298	267
528	299	266
529	299	265
530	299	264
531	300	263
532	300	263
533	300	262
534	300	261
535	301	260
536	301	259
537	301	259
538	302	258
539	302	257
540	302	256
541	302	256
542	303	255
543	303	254
544	303	253
545	304	252
546	304	252
547	304	251
548	304	250
549	305	249
550	305	248
551	305	248
552	306	247
553	306	246
554	306	245
555	306	245
556	307	244
557	307	243
558	307	242
559	308	242
560	308	241
561	308	240
562	308	239
563	309	239
564	309	238
565	309	237
566	310	236
567	310	236
568	310	235
569	310	234
570	311	233
571	311	233
572	311	232
573	312	231
574	312	230
575	312	230
576	312	229
577	313	228
578	313	228
579	313	227
580	314	226
581	314	225
582	314	225
583	314	224
584	315	223
585	315	222
586	315	222
587	316	221
588	316	220
589	316	220
590	317	219
591	317	218
592	317	218
593	317	217
594	318	216
595	318	215
596	318	215
597	319	214
598	319	213
599	319	213
600	319	212
601	320	211
602	320	211
603	320	210
604	321	209
605	321	208
606	321	208
607	322	207
608	322	206
609	322	206
610	322	205
611	323	204
612	323	204
613	323	203
614	324	202
615	324	202
616	324	201
617	325	200
618	325	200
619	325	199
620	325	198
621	326	198
622	326	197
623	326	196
624	327	196
625	327	195
626	327	194
627	327	194
628	328	193
629	328	192
630	328	192
631	329	191
632	329	191
633	329	190
634	330	189
635	330	189
636	330	188
637	330	187
638	331	187
639	331	186
640	331	185
641	332	185
642	332	184
643	332	183
644	332	183
645	333	182
646	333	181
647	333	181
648	334	180
649	334	180
650	334	179
651	335	178
652	335	178
653	335	177
654	335	176
655	336	176
656	336	175
657	336	175
658	337	174
659	337	173
660	337	173
661	337	172
662	338	171
663	338	171
664	338	170
665	339	170
666	339	169
667	339	168
668	340	168
669	340	167
670	340	167
671	341	166
672	341	165
673	341	165
674	341	164
675	342	164
676	342	163
677	342	162
678	343	162
679	343	161
680	343	161
681	344	160
682	344	159
683	344	159
684	344	158
685	345	158
686	345	157
687	345	156
688	346	156
689	346	155
690	346	155
691	346	154
692	347	153
693	347	153
694	347	152
695	348	152
696	348	151
697	348	150
698	349	150
699	349	149
700	349	149
701	349	148
702	350	147
703	350	147
704	350	146
705	350	146
706	351	145
707	351	144
708	351	144
709	352	143
710	352	143
711	352	142
712	353	142
713	353	141
714	353	141
715	354	140
716	354	139
717	354	139
718	355	138
719	355	138
720	355	137
721	355	137
722	356	136
723	356	135
724	356	135
725	357	134
726	357	134
727	357	133
728	358	133
729	358	132
730	358	131
731	358	131
732	359	130
733	359	130
734	359	129
735	360	129
736	360	128
737	360	128
738	361	127
739	361	126
740	361	126
741	361	125
742	362	125
743	362	124
744	362	124
745	363	123
746	363	123
747	363	122
748	364	121
749	364	121
750	364	120
751	364	120
752	365	119
753	365	119
754	365	118
755	366	118
756	366	117
757	366	117
758	366	116
759	367	115
760	367	115
761	367	114
762	368	114
763	368	113
764	368	113
765	369	112
766	369	112
767	369	111
768	369	111
769	370	110
770	370	110
771	370	109
772	371	108
773	371	108
774	371	107
775	371	107
776	372	106
777	372	106
778	372	105
779	373	105
780	373	104
781	373	104
782	373	103
783	374	103
784	374	102
785	374	102
786	375	101
787	375	101
788	375	100
789	376	99
790	376	99
791	376	98
792	376	98
793	377	97
794	377	97
795	377	96
796	378	96
797	378	95
798	378	95
799	378	94
800	379	94
801	379	93
802	379	93
803	380	92
804	380	92
805	380	91
806	381	91
807	381	90
808	381	90
809	381	89
810	382	89
811	382	88
812	382	88
813	383	87
814	383	87
815	383	86
816	384	86
817	384	85
818	384	85
819	384	84
820	385	83
821	385	83
822	385	82
823	386	82
824	386	81
825	386	81
826	386	80
827	387	80
828	387	79
829	387	79
830	388	78
831	388	78
832	388	77
833	388	77
834	389	76
835	389	76
836	389	75
837	390	75
838	390	74
839	390	74
840	391	73
841	391	73
842	391	72
843	391	72
844	392	71
845	392	71
846	392	70
847	393	70
848	393	69
849	393	69
850	393	68
851	394	68
852	394	67
853	394	67
854	395	67
855	395	66
856	395	66
857	395	65
858	396	65
859	396	64
860	396	64
861	397	63
862	397	63
863	397	62
864	398	62
865	398	61
866	398	61
867	398	60
868	399	60
869	399	59
870	399	59
871	400	58
872	400	58
873	400	57
874	400	57
875	401	56
876	401	56
877	401	55
878	402	55
879	402	54
880	402	54
881	403	53
882	403	53
883	403	52
884	403	52
885	404	52
886	404	51
887	404	51
888	405	50
889	405	50
890	405	49
891	405	49
892	406	48
893	406	48
894	406	47
895	407	47
896	407	46
897	407	46
898	407	45
899	408	45
900	408	44
901	408	44
902	409	43
903	409	43
904	409	43
905	409	42
906	410	42
907	410	41
908	410	41
909	411	40
910	411	40
911	411	39
912	412	39
913	412	38
914	412	38
915	412	37
916	413	37
917	413	36
918	413	36
919	414	36
920	414	35
921	414	35
922	414	34
923	415	34
924	415	33
925	415	33
926	416	32
927	416	32
928	416	31
929	416	31
930	417	30
931	417	30
932	417	30
933	418	29
934	418	29
935	418	28
936	418	28
937	419	27
938	419	27
939	419	26
940	420	26
941	420	25
942	420	25
943	420	24
944	421	24
945	421	24
946	421	23
947	422	23
948	422	22
949	422	22
950	422	21
951	423	21
952	423	20
953	423	20
954	424	19
955	424	19
956	424	19
957	425	18
958	425	18
959	425	17
960	425	17
961	426	16
962	426	16
963	426	15
964	427	15
965	427	15
966	427	14
967	428	14
968	428	13
969	428	13
970	428	12
971	429	12
972	429	11
973	429	11
974	430	11
975	430	10
976	430	10
977	430	9
978	431	9
979	431	8
980	431	8
981	432	7
982	432	7
983	432	7
984	433	6
985	433	6
986	433	5
987	433	5
988	434	4
989	434	4
990	434	3
991	435	3
992	435	3
993	435	2
994	435	2
995	436	1
996	436	1
997	436	0
998	437	0
999	437	0
